;AKAP8L;ARID3B;ARNTL;ATF3;ATF4;BACH2;BATF;BATF3;BBX;CREM;E2F1;E4F1;EGR1;EGR2;ELF4;ELK1;ELK3;ETS2;ETV3;ETV6;FOS;FOSL1;FOXJ2;FOXO1;GATAD2B;GMEB1;GTF2B;GTF3A;HBP1;HSF2;IRF4;KLF13;KLF6;LHX4;LYL1;MAX;MEF2A;MNT;MXD1;MYBL1;MYBL2;MYPOP;NCOA3;NFX1;NR1D1;NR1H2;NR2C1;NR2F6;PKNOX1;PLSCR1;PRMT3;RARG;RBCK1;RBSN;RELB;RORC;SETDB1;SMYD3;SP4;SREBF1;SRF;STAT3;STAT6;TBX21;TET2;TFAP4;TFCP2;TFDP1;THAP1;TP53;TRERF1;TRPS1;WT1;YBX3;ZBTB16;ZBTB17;ZBTB3;ZBTB39;ZBTB40;ZBTB45;ZFP1;ZFP30;ZFP37;ZFP62;ZFP64;ZFP69B;ZFPM1;ZKSCAN4;ZKSCAN7;ZNF107;ZNF121;ZNF131;ZNF134;ZNF138;ZNF154;ZNF155;ZNF160;ZNF180;ZNF200;ZNF202;ZNF226;ZNF227;ZNF234;ZNF235;ZNF239;ZNF250;ZNF254;ZNF256;ZNF264;ZNF268;ZNF284;ZNF287;ZNF317;ZNF324;ZNF324B;ZNF329;ZNF337;ZNF33A;ZNF35;ZNF354B;ZNF354C;ZNF365;ZNF367;ZNF396;ZNF397;ZNF429;ZNF43;ZNF451;ZNF471;ZNF483;ZNF493;ZNF501;ZNF507;ZNF510;ZNF513;ZNF527;ZNF530;ZNF546;ZNF549;ZNF554;ZNF555;ZNF562;ZNF563;ZNF574;ZNF585A;ZNF586;ZNF589;ZNF599;ZNF615;ZNF619;ZNF620;ZNF621;ZNF629;ZNF649;ZNF669;ZNF672;ZNF675;ZNF718;ZNF746;ZNF766;ZNF776;ZNF777;ZNF784;ZNF787;ZNF789;ZNF79;ZNF808;ZNF823;ZNF827;ZNF844;ZNF879;ZNF880;ZSCAN12;ZSCAN2;ZSCAN20;ZSCAN21;ZXDC
FOS;0;0;0;0;0;0;0,34125003;0;0;0;0;0;0,666995005;0,083031365;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,097850435;-0,237768647;0;0;0;0;0,00437855;0;0;0;-0,304503004;0;0;0;0,080977483;0;0;0;0;0;0,297183323;0;0;0;0;0;0,229733722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,059429328;0,092301478;-0,13205102;0;0;0;0;0;0,212815391;0;0;0,001061185;0;0;0;0;0,040656446;0,030639663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,045217744;0;0;0;0;0,015991734;0;0;0;0;0;0;0;0;0;0;0;0,085380846;0;0;0;0;0;0;0;0,071492253;0;0,067952687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,052841507;0;0;0;0;0;0;0
FOSL1;0;0,035618586;0;0;0;0;0,230667109;0,129418269;0;0,271738842;0;0;0,097952439;-0,001322539;0;0;0;0;0;0;0;-1;0;0;0;0;0;0,330513462;0;0;0,139184704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,471573074;0;0;0;0;0,128498651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,100163037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,021820387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,056331882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,075002175;0;0;0
FOXJ2;0;0;0;0;0;0;-0,145407931;-0,00627306;-0,089353288;0;0;0;0;0;0,101940233;0,000658076;0;0;-0,018698395;0;0;0;-1;0,086970736;0,078811928;0;0;0;0;0;0;-0,114187144;0;0;0;-0,124330684;0;0,10445326;0;0;0;0;0,158414225;0,091566798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,080627483;0,093364906;0,150192544;0,083532891;0,009465012;0;0;0;0;0;0;0,070974765;0;0;0;0;0;0;0;0;0;0;0;0;0;0,054634027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5,52486E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,000716344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FOXO1;0;0;0;0;0,120159202;0,116400984;0;0;0,114263924;-0,08263998;0,075211807;0;0;0,003064759;0;0;0;0;0;0,041242114;0;0;0,032073065;-1;0;0;0;0;0;0;0,000164443;0,192059362;0,22046443;0;0;0;0;0;0;0;0,03401787;0;0,094287253;0;0;-0,109177843;0;0;-0,041773176;-0,034300648;-0,016366529;0;0;0;-0,004246688;0;0;0;0;0,054596658;0,101541346;0;0;0,022460738;0;0,000471354;0;0,086869838;0;0;0,030531916;0,003823313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,002161098;0,034841181;0;0;0;0,015252488;0;0;0;0;-0,093072437;0;0;0;0;0,003585553;0;0;0;0;0;0;0,028624914;0;0;0;0;0;0;0;0;-0,083810863;0;0;0;0;0;0;0,022011717;0;0;0;0;0;0,06307726;0;0;0,007479792;0;0;0;0,02576342;0;0;0;0,044235457;0;0;0,045087314;0;0;0;0;0;0;0;0;0;-0,000244931;0;0;0;0;-0,089267378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GATAD2B;0;0;0;0,021880204;-0,012211579;0,073827074;0;-0,009192046;0;0;0,006657303;0;-0,000844614;-0,038273414;0;0;0;0;0,056615163;0;0;0;0,04942137;0,068759632;-1;0;0;0;0;0;0;0;0;0;0;0;0;0,065714514;0;0;0,018119439;0;0,178750934;0;0;0;0;0;0;0;0;0;0;0,07353014;0;0;0;0;0,068468375;0;0,082162571;0;0;0;0;0;0,021028948;0;-0,000988387;0,069161179;0,040878465;0;0;0;0;-0,001067494;0;0;0;0;0;0;0;0;0;0;0;-0,023135511;0;0,047046936;0,074805761;0,002773735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003393066;0;0;0,001244418;0;0;0;0;0;0;0;0;0;0;0,033569793;0;0;0;0;0;0;0;0;0;-0,000494685;0;0;0;0;0;0;0;0;0,08375995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,034794559;0;0;0;0;0;0;0;0;0;0
GMEB1;0;0;0;0;0;0;0;0;0,077866161;0;0;0;-0,006630864;0;0;0;0;0,017262958;0;0,044804095;0;0;0;0;0;-1;0,024456674;-0,052981806;-0,026878863;0;0;0,120502828;0;0;0;0;0;0;0;0;0,047160925;0;0;0;0;-0,077589374;0;0;0,047824686;0,017513817;0;0;0;0;0;0;0;0;0,070163332;0;0;0;0;0;0;0;0;0;0;0,033268615;0;0;0;0;0,034196508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000390009;0,057221273;0;0;0;0;-0,06664181;0;0,030881604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,034533138;0;0;0;0;0;0;0,048007791;0;0;0;0;0;0;0;0,051376534;0;0;0;0;0;0;0;0;0;0;0;-0,000963768;0;0;0;0;0;0;0;0;0;0,003321867;0;0;0;0;0,036860361;0;0,031792716;0;0;0;0;0;0;-0,048345066;0;0;0;0;0;0;0;0
GTF2B;0,067116147;0;0;0;0,065408421;0;0,080612936;0;0;0,120559036;-0,053724113;-0,026830828;0;0;0;0;0;0,048858484;0;0;0;0;0;0;0;0;-1;0;0,029564779;0;0;0,05224463;0;0;0;0;0;-0,039055965;0;0;0;0,063985546;0;0;0,005716229;-0,098609259;0;0;0;0,030017647;0;0;0,083470714;0;0;0;0;0;-0,041994915;0;-0,050845108;-0,176651249;0;0;0;0;-0,066220684;0,034830947;0,054631988;0;-0,001496269;0;0;0;0;0,118826337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,012304202;0;0;0;0,028392444;0;0;0;0;0,036334404;0;0;0;0;0;0;0;0;0;0,025013335;0;0;0;0;0;-0,020013268;0;0;0,000281541;0;-0,063617129;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,001020355;0,013802635;0;0;0;0;0;0;0;0;0;0;0;0,024291553;0;0;0;0;0;0;-0,014223971;0;0;0;0;0;0,011137293;0;0;0;0;0;0;0;0;0
GTF3A;-0,022958639;0;0;0;-0,0491737;0,013973441;0,023055305;0,048562477;0;-4,25404E-05;0,000637425;0;-0,004040933;0;-0,000114888;-0,028547479;0;0;0;0;0;0;0;0;0;0;0;-1;0,011608623;-0,003192152;-0,038843797;-0,024978837;0;0;0;0,028463343;-0,010782694;0;0;0;-0,011312806;0;-0,037679494;-0,02916538;0;0,049316795;0;-0,001879246;0,016042475;0,009231671;0,034307018;0,050626975;0,073125057;0;0;0;0;0,032949851;0;0;0,035763712;-0,089165038;0;0;0;0;0,002337591;0;0,018836706;0;0,002743283;0;0;0;0;-0,005952831;0;0;0,000654587;0,023101533;0;-0,002498002;0;0;0;0;0;0;0;0;0;0;0,000830494;0,007655938;0;0;-0,020562033;0;-0,020559376;0;0;0;-0,014368562;0;0;0;0;0;0;-0,031146718;0;0,016438176;0;0;0;0;-0,010577133;0,003337625;-0,000221997;0;0;-0,008451453;0;0;-0,003242804;0;0;0;0;0;0,005180651;0,027274132;0;0;0;0;0;0;0;0;0;0;0;0,026591767;0;0;0;0;0;0;0;-0,018673654;0;0;0;0,026394642;0;0;0;0,037876472;0;0;0;0;0;0;0;0;-0,011775523;0;0;0,015606822;0;0;0;0;0,002298311
HBP1;0;0,025792821;0;0;0;0;0,00035982;-0,041813886;0;0;-0,062719304;0;0;0;0;0;0;0;0;0;0,015678114;0;0;0;0;-0,059685799;0,086861871;-0,1319934;-1;0;0;0;0;0;0;0;0;0;0,041099357;0;-0,035194915;0;-0,039869974;0;0,025861324;0;0,065524677;0;0;0;-0,018092934;0;0;0;0;0;0;0;-0,057182986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015064517;0,026237566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,041266213;0;0;0,038300244;0;0;0,026263155;0;0;0;0;0;0;0;0;0;0;0,100583917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HSF2;0;0;0,096362849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,047527139;0,054425187;0;0;0;0;0;-0,001510277;0;0;0,203842595;0;-1;-0,060440735;-0,085072994;0;0;0;0;0;0;0,056102043;0;0;0,042053681;0;0;0;-0,13913704;0;0;0;0;0,024899398;0;0;0;0;0;0;0;0;0;-0,083884025;-0,065664628;0;0;0;0;0;0;0,104568067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,026514584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002977819;0;0;0;0;0;0;0;0;-0,020591311;0;0;0;0;0;0;-0,004054668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002532121;0,044717608;0;0;0,015915696;0;0;0;0,033049056;0;0;0;0;0;0,013164844;0;0;0;0;0,05624455;0
IRF4;-0,066058338;0;0;0;0,120186737;0;0;0,051781236;0;0,003458296;0;0;0;0,029527314;0;0;0;0;0,029184917;0,076388135;0;0,031704763;0;0;0;0;0;-0,218467086;0;0;-1;-0,112195467;-0,06640862;0;0;0;0;0,053477871;-0,005429862;-0,039329164;0,037774447;0;0,069024415;0;0;0;0;0;0;0;0;0;-0,162423286;0;0;0;0;0;0,106416298;0;0,058023508;0,078027692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,017862901;0;0,000801966;0;0;0;0;0;0;0;0;0;0;0,132440592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,04738001;0;-0,026615795;0;0;0,008957932;0;0;0;0;0,000226216;0;0,017249358;0;0;-0,049502525;0;0;0;0;0;0;0;0;0,073875578;0;0;0;0;0,019367912;0;0;0;0;0;0;0;0;0;0;0;0,003013259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KLF13;0;0;0;0;0,114537946;0;0;0;0,15173824;0;0,04992887;0;0;0;0,000715519;0;0,043487337;0;0,028116596;0,104411553;0;0;0,00056889;0,127806608;0;0,039536509;0;-0,092631323;0;0,012132336;-0,079715392;-1;0;0;0;-0,061121022;0,028745774;0;0;0;0,051553161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,019450687;-0,001690677;0,001295191;0;0;0,105130062;0;-0,052051303;0,024340782;0;0,019333733;-0,039337418;0;0;-0,001180885;0;0,043749873;0;0,0319849;0;-0,019293435;0;0;0;-0,050552601;0;0;0;0;0;0;0;0;0;0;0;0;-0,071178247;0;0;-0,030877188;0;0;0;0;0;0;0;0;0;-0,036028016;0;0;0;0;0;0;-0,001637989;0,043760908;0;0;0;0;0;0;0;0;0;0,001148326;0;0;0;0;0,051269438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,009670239;0;0;0;0;-0,016875408;0,03913772;0;-0,03370137;0;0;0,11137524;0;0,014429963;0;0,077086266;0;0;0;0;0;0;0;0;0;0;0;0;-0,000665548
KLF6;0;0;0;0;-0,083863257;-0,000644622;-0,032752967;-0,036927822;0,140370499;0,063342479;0;0;0,029811131;0,030065198;0;0;0;0;0;0,025752091;-0,005451172;0;0;0,097018319;0;0;0;0;-0,056904149;0;-0,028731396;0;-1;0;0;-0,029006008;-0,024469046;0;-0,050111978;0;0,008412239;0,001038798;0;0;0;0;0;0;0;0;0;0;0,069980863;0;0;0;0,013145845;0;0;0;0;0,25072579;-0,018459388;0;0;0;0;0;0;-0,046312373;0;0;0;0,002563545;0,049386802;0;0;-0,012693448;0;0;0;0;0;0;0;0;0;0;0;0;-0,039436026;0,092741909;0;0;0;0;-0,031857026;0;0;0;0;0;0;0;0;0,00412327;0;0;0;-0,016979118;0;0;0;0,028396945;0;0;-0,043406987;0;0;0;0;0;0;0;0;0,000556248;0;0,001102992;0;0;0,028502113;0;0;0;0;0;0;-0,002614035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,006902094;0;0,000326202;0;-0,001492497;0,016730045;0;0;0;0;0;0;-0,015256683;0,000968601;0;0;-0,004395002;0;0;0;0;0;0;0;0
LHX4;0;-0,302559196;0;0;0;0;0;0,130324288;0;0;0;0;0;0;0;-0,249529357;0;0;0,104624146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0,000159263;0;0;0;0;0;0,755656441;0;0;0;0;0;0;0;0;0;0,0029177;0;0;0;-0,263703919;0;0;0;0;0;0;0;0;0;0;-0,182161121;0;0;0;0,178649603;0;0;0;0;0;0;0,001899479;0;0;0;0,049106236;0;0;0;0;0,005038632;0;0;0;0;0;0;0;0;0;0;0;0,005501207;0;0;0,082425755;0;0;0;-0,266097255;0;0;0;0;0;0;0,512380423;0;0;0;0;0;0;0,035156743;0;0;0;0;0;0;0,162595048;0,056677246;0;0;0;0;0;0;0;0,035662243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,224615094;0;0;0;0;0;0;0,104800286;0;0,000277968;0;0,085642674;0,09726746;0,01041616;0;0;0;0;0;0;0;0;0
LYL1;0;0;0;0;0;0;0;-0,12832992;0;0;0;0;0,061708317;0;0;0;0;0;0;0;0,005121657;0;0;0;0;0;0;0;0;0;0;0;0;0,020379834;-1;0;0;0;0;0;0;0,118518912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,206683401;0;0;0;0;0;0;0;0,131206797;0;0;0;0;0;0;0,02456194;0;0;0;0,064951019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,000106653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,057060363;0;0;0;-0,161092847;0;0;0;0;0;0;0,081409699;0,002593761;0;0;0;0;0;0;0;0;0;0;0;0;0,060882464;0;0;0;0;0;0;0;0;0;0;0;0;0,097422846;0,002781034;0;0;0;0;0;0;0;0,012358398;0;-0,001474;0;0;0;0
MAX;0;0,016784621;0;0;0;0;-0,081390582;0;-0,089091578;-0,048693944;-0,044728804;0;0;0,00032343;0;0,040416188;0,084019465;0;0,040640563;0;0;0;-0,009770033;-0,004042591;0;0;0;0,207199261;0;0;0;-0,031920732;-0,047730332;0;0;-1;0;0;0;0;-0,057938574;0;0,058707801;0;0;0,13678383;0;0;0;0,032367813;0,02019371;0,055480771;0;0;0;0,028570047;0;0;0;-0,000507346;-0,036134393;0,06040045;0;0;0;0,007455939;0,046905782;0;0;0;0;0;0,018812562;0;0;0;0;0;0;-0,003239426;0;0;0;0,030976678;0;0;0;0;0;0;0;0;0;0,000372991;0;0;0;0;0;0;0;0,000129776;0;0;0;0;0,008685562;0;0;0;0;0;0;0;0;0;-0,028519328;-0,059118992;0;0;0;0;0;0;0;0;0,000252532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,034855239;0;0,071417426;0;0;0;0;0;0;0;0;0;0,006721528;0;0,0025155;0;0;0,001888851;0,072759423;-0,007226543;0;0;-0,009486473;0;0;0,000641889;0;0;0;0;0;0;0;0;0;0
MEF2A;0;0;0;0;0,139440779;0;0;0,083510048;0,1171618;0;0;0;-0,019959441;0;0;0;0,1219306;0;0;0;0;0;0;0;0;0;0;-0,170498349;0;0;0;0,092197447;-0,038273769;0;0;0;-1;0;0;0,09131118;0;0;0,000432098;0;0;0;0,050552984;0;0;0,001165257;0,001680243;0;0;0;0;0;0;0;0,064990203;0;0;0;0;0;0,056229037;0;0,079415853;-0,093305588;0;-0,061559456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,055417718;0;0,056561859;0;0;0;0;-0,011906807;0,015691837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008923908;0,009624111;0;0;0;0,047287247;0,019171884;0;0;0,007843099;0;0;0;0;0,045673296;0;0;0;0;0,053593293;0;0;0;0;0;0;0;0;-0,056653709;0;0;0;0;0;-0,041132841;0;0;0;0;0;0,031858379;0;0;0,064328753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MNT;0;0;0;0;0;0,043939722;0;0;0;-0,13776964;0;0;0;0;0;0;0;0;0;0;0;0;0,026248076;0,003115803;0,0646524;0;-0,072903539;-0,103255375;0;0;0,090979044;0;0;0;0;0;0;-1;0;0;0,035976657;0;0,000822391;0;0,002761388;0;0;0;-0,025485108;0;0;0;0;0,062550642;0;0;0;0;0,002175738;0,096207245;0,064669359;0,136855753;0;0;0;0;0;0;-0,000807068;-0,003735144;0;0;0;0;0,053553832;-0,060231274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,074918919;0,074845988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,063547076;0;0;0;0;0;0;0;0;-0,000394538;0;0;0;0;0;0;0;0;-0,00138952;0;0;0;0,002390696;0;0;0;0;0;0;0;0;0;0;0,05693942;0;0;0;0;0,038975398;0;0;0;0;0,009159333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,062953661;0;0;0;0;0;0;0;0
MXD1;0;0;0,108415636;0;-0,226568847;-0,010379609;0,144500713;0;0;0;0;0;0,056951041;0;0;0;0,128277155;0,043886495;0,097361288;0,093785664;0,008934283;0;0;0;0;0;0;0;0,07735952;0,096561875;0,001981172;0;-0,194890241;0;0;0;0;0;-1;0;0;0,00171669;0;0;0;0;0;0;0;0;0;0;-0,210780503;0;0;0;0,071456141;0;0,081518084;0;0;0,019125045;0;0;0,056438665;0;-0,096823889;0;0,060060711;0;0;0;0;0;0;0,084273686;0;0;0;0;0;0;0;0;0;0;0;0;0;0,060457506;0;0;0;0;0;0;0;0,001859674;0;0;0;0;0;0;0;0;0;0;0;0;-0,001901233;0;0;0;0;0;0;0,05574545;0;0;0;0;0;0;0;0;0;0,129271316;0;0;0;0;0,006052659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,03579497;0;0;0;0;0;0;0;0
MYBL1;0,120619577;0;0;0;0,237880221;0,088925534;-0,245265631;0;0,168463648;0;0;0;0;-0,019473401;0;0;0;0;0,08397274;0;0;0;0;0;0;0;0;0;0;0;-0,110094399;0;0;0,027106638;0;0;0,221219411;0;0;-1;0,08908857;0;0,100572088;0;0;0;0;0;0;0;0;0,137168229;0;0,012574889;0;0;0;0;0,112091677;0;0;-0,277207802;0;0,027833904;0,067458902;0;0,081843886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,043253959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,023729404;0,046209819;0,000322434;0,11551628;0;0;0;0;0,040327335;0;0;0;0;0;0;0;0;0;0,06882291;0;0;0;0;0;0;0;0;0;0;0;-0,025016184;0;-0,006592029;0;0;0;0;0;0,032328073;0,078147577;0;0;0;0;0,056647586;-0,026563804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MYBL2;0;0,053403463;0;0;0,219097081;0;0;0,088322822;0;0;0,169058767;0;0;0,009257504;-7,27121E-05;0;0;0;0;0,028715967;0;0;-1,89258E-05;0,082533797;0,043366125;0;0;0;-0,076057963;0;0,08445559;0,065640065;0;0;0;0;0;0,009545401;0;0;-1;-0,067705564;0;0;0;-0,091997998;0;0;0;0;0;0;0;0;0;0;0;-0,057652124;0;0,082524002;0,063245078;0;0;0,046554151;0;0;0;0,120885895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01682699;0;0;0;0;0;0;0;0;0;0;0;-0,062142319;0;0;0;-0,037877243;0;0;0;0;0;0;0;0;0;0;0;0;0,012145252;0;0;0;0;0;0;0;0;0,020694114;0;0;0;0;-0,093969203;0;0;-0,00134249;0;0;0;0,04089309;0;0;0;0;0;0;0;0;-0,07923315;-0,032533953;0;0;-0,027899052;0;0;0;-0,040059083;0;0;0;0;0;0;0,040697932;0;0;0;0;0,000846689;0;0;0;0;0;0;0;0;0;0;0;0;0
MYPOP;0,191468558;0;0;0;0,168755394;0;0,156127411;0;0;0;0;0;0;0;0;0,121413838;0;0;0;0;-0,014824068;0;0;0;0;0;0,221598359;0;0;0,06154601;0;0,000664961;0;0;0,014118263;0;0;0;0;0;-0,035818931;-1;0;0;0;0;0;0;0;-0,159168928;0;0;0,464222274;0;0;0;0;0;0;0;0;0;0;0;-0,072132935;0;0;0;0;0,041677666;0;0;0;0;0;0,316893229;0;0;0,002643267;0;0,03876519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,065414638;0;0;0;0;0,05708309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,065228634;0,395202076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,48071E-05;0;0;0;0;0,176956706;0;0;0;0;0;0;0;0;0;0;0;0,000119502;0;0,018294362;0,04105222;0,000782132;0;0,046274943;0;0;0;0;0;0;0;0;0;0;0
NCOA3;0;0;0;-0,028220476;-0,055350562;0,010369454;0,113381732;0,048679632;0;0;0;-0,056038615;-0,016930798;0;0;0;0,032990173;0;0;0;-0,012365318;0;0,044913355;0,082464109;0,118497863;0,012384251;-0,04483307;-0,186387606;-0,042131625;0;0,062950614;0;0,092971563;0;0;0,073107026;0,035125345;0,016937954;0;0;0;0;-1;0;0;-0,11112144;0;0;0;0;0;0;-0,142139026;0;0;0;0;-0,009215519;0,107631403;-0,000919021;0;0,10974653;0,017039847;0;0,035659136;0;0;0;0;0,088988227;0,082138497;0,007896377;0;0;0,000219999;-0,005704769;0;0,048542938;0,069123826;0;0;0;0;0;0;0;0;0;0;0,02791633;0;-0,000680787;0;0;0;0;0,040547793;0;0;0;0;0;0,023827585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,069133478;0;0;0;0;0;0;0;0;0;0,122686323;0;0;0;0;0,103588264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04415379;0;0;0;0;0;0;0;0;0;-0,013348088;0;0;0;0;0;0;0,032486858;0;0;0;0;0;0;0;0
NFX1;0;0,081426028;0,062522106;0;0;0;-0,032200957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,103833648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,029535163;-1;0;-0,064050966;0;-0,034629292;0;0;0;0;-0,118020664;0;0;0;0;0;0;0;0;0,055669878;0,019545161;0;0;0;0,032214014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,035096437;0;0;0;0;0;0;0;0,055638678;0;0;0;0;0;0,027917382;0,037079075;0;0;0,029652165;0;0;0;0;0;0;0;0,030136183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,005474665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,019049753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NR1D1;0;0,128285609;0;0;0;0;0;0;0;-0,158376726;0;0;0;-0,000620693;0,077516122;0,086668574;-0,000263235;0;-0,045511666;0;0;0;0;0;0;0;0,12687124;0;4,88107E-05;0;-0,107879725;0;-0,001534051;0;0;0;0;0;0;0;0;0,085080715;0;0;-1;0,161216023;0,060374891;0;0;0;0;-0,000220293;0;0;0;0,014697173;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010090029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,002208196;0,000548988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008912846;0;0;0;-0,068343032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,093146974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NR1H2;0;0;-0,046939407;0;-0,098001494;0;0,002484083;0;0;-0,01339016;0;0,020435884;0;0;0;0;-0,024313381;-0,030596781;0;0;0;-0,023327097;0;-0,031161578;0;-0,001815443;-0,024117525;0,074902417;0;-0,033486473;0;0;0;-0,002681773;0;0,070836741;0;0;0;0;0;0;-0,044929933;0;0,01179768;-1;-0,005943256;0;0;0;0;0,060173023;0,139661184;0,013165161;0,032916001;0;0;0;0;0;0;0;0;0;0;0;0;-0,00332468;0;0;0;0;0;0;0;0,006515383;0;0;0;0,051073765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,024186169;0;-0,009794932;0;0;0;0;0;0;0;0;0,017703635;0;-0,015081216;0,0339178;0,027553497;0,036197072;0,017615942;0;0;0;-0,044345567;0;0;0;0;0;0;-0,00576465;0;-0,061565974;0;0;0;0;0;-0,001138805;0;0;0;0;0;0;0;0;0;0;0,097313976;0,005621752;0;0;0;0;0;0;0;0;0;0;0,013678332;0;0;0;0,069260052;0;0;0;0;0;0;0;0;-0,002449648;0;0;0,019505989;0;0;0;0,037030461;0
