;AKAP8L;ARID3B;ARNTL;ATF3;ATF4;BACH2;BATF;BATF3;BBX;CREM;E2F1;E4F1;EGR1;EGR2;ELF4;ELK1;ELK3;ETS2;ETV3;ETV6;FOS;FOSL1;FOXJ2;FOXO1;GATAD2B;GMEB1;GTF2B;GTF3A;HBP1;HSF2;IRF4;KLF13;KLF6;LHX4;LYL1;MAX;MEF2A;MNT;MXD1;MYBL1;MYBL2;MYPOP;NCOA3;NFX1;NR1D1;NR1H2;NR2C1;NR2F6;PKNOX1;PLSCR1;PRMT3;RARG;RBCK1;RBSN;RELB;RORC;SETDB1;SMYD3;SP4;SREBF1;SRF;STAT3;STAT6;TBX21;TET2;TFAP4;TFCP2;TFDP1;THAP1;TP53;TRERF1;TRPS1;WT1;YBX3;ZBTB16;ZBTB17;ZBTB3;ZBTB39;ZBTB40;ZBTB45;ZFP1;ZFP30;ZFP37;ZFP62;ZFP64;ZFP69B;ZFPM1;ZKSCAN4;ZKSCAN7;ZNF107;ZNF121;ZNF131;ZNF134;ZNF138;ZNF154;ZNF155;ZNF160;ZNF180;ZNF200;ZNF202;ZNF226;ZNF227;ZNF234;ZNF235;ZNF239;ZNF250;ZNF254;ZNF256;ZNF264;ZNF268;ZNF284;ZNF287;ZNF317;ZNF324;ZNF324B;ZNF329;ZNF337;ZNF33A;ZNF35;ZNF354B;ZNF354C;ZNF365;ZNF367;ZNF396;ZNF397;ZNF429;ZNF43;ZNF451;ZNF471;ZNF483;ZNF493;ZNF501;ZNF507;ZNF510;ZNF513;ZNF527;ZNF530;ZNF546;ZNF549;ZNF554;ZNF555;ZNF562;ZNF563;ZNF574;ZNF585A;ZNF586;ZNF589;ZNF599;ZNF615;ZNF619;ZNF620;ZNF621;ZNF629;ZNF649;ZNF669;ZNF672;ZNF675;ZNF718;ZNF746;ZNF766;ZNF776;ZNF777;ZNF784;ZNF787;ZNF789;ZNF79;ZNF808;ZNF823;ZNF827;ZNF844;ZNF879;ZNF880;ZSCAN12;ZSCAN2;ZSCAN20;ZSCAN21;ZXDC
E2F1;0;0;0;0;0,095723193;0;-0,109405941;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0,045846648;0;0;-0,086443051;0;-0,051750752;0;0;0,069890243;0,000245834;0;0;-0,064606811;0;0;0;0;0,136209674;0;0;0;0;0;0;0;0;0;0;0;0;0;0,099011639;0;0;0;0;0,077484427;0,102171003;0;0;0,016826207;0;0;0;0,072364407;-0,083621521;0;0;0;0;-0,006635543;0;0;0;0;0;0;0;0;0;0;0;0;0,011690029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,034218953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,020658181;-0,046135221;0;0;-0,00536749;0;0,016730096;0;0;0;0;0;0;0;0;0;-0,033579923;0;0,036822192;0;0;0;0;0;0;0;0,044614825;0;0;0;0;0;0;0;-0,000941094;0;0;0;0;0;-0,03659742;0;0;-0,103543362;0;0;0;0,022535558;0;0;0;0;0;0;0;0;0;0;0;0;-0,00329152
E4F1;0;0;0;0;0;0;0;0;-0,020669643;-0,028493113;0;-1;0;0;0;0;0;0;-0,027416451;0;0;0;0;0;0;0;-0,072440731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,082414746;0;0;0;0;0;0,040325578;0,194667085;0;0,046402301;0;0;0;0;0,066407353;0,025950004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,079409214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,026397105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,058173492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,022316511;0;0;0;0;0;0,005055338;0;0;0,037264334;0;0,014594359;0,025175736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008247433;0;0;0;-0,010901415;0;0;0;0;0;0;0;0;0;0
EGR1;0;0;0;0;0,228301772;-0,117829058;0;0;0;0;0;0;-1;0,195900513;0;0;0,165374125;-0,112004496;0,062889591;0;0,213691283;0,053766562;0;0;0;-0,115593436;0;-0,515887497;0;0;0;0;0,301826864;0;0;0;0;0;0;0;0;0;-0,126980924;0;0;0;0;0,027576377;0;0;0;-0,220923553;0;0;0;0;0;0,228492397;0,173838425;0;0;0;-0,1219324;0;0;0;0;0;0;0,179680867;0;0,030997645;0;0;0;0;0;0;-0,081945331;0;0;0;0;0;0;0;0;0;0;0;0;-0,215591278;0;0;0;0;0,34543431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,003661561;0;0;-0,084561816;0;0;0;0;0;0;0;0,08220613;0;0;-0,194626612;0;0,042046435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,144183382;0;0;0;0;0;0;0;0;0;0;0;0;0;0,113473612;0;0;0;0;0;0;0;0
EGR2;0;0,216771076;0;-0,007592825;0;0;0;0;0;0,498776298;0;0;0,41466535;-1;0;0;0;0;0;0;0,046480875;0,009560655;0;-0,213989751;-0,133061351;0;0;0;0;0;0,319077156;0;0,490636302;0;0;0;0;0;0;-0,067486814;0;0;0;0;0;0;0;0;-0,116924065;0;0;0;0;0;0;0;0;0;-0,004324523;0;0;0,331796622;0;0;0;0;0;0;0;0;0,095917359;0;0;0,100611767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,009548094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,036771705;0;0
ELF4;0;0,081338617;0;0;0,051861765;0;-0,108778661;0,011306104;0;0;0;0;0;0;-1;0,053418355;5,79718E-05;0,041359601;-0,03452653;0;0;0;0,06794207;0;0;0;0;0;0;0;0;0,059853803;0;0;0;0,000463865;0;0;0;0;0,006672235;-0,009747793;0;0;0,010973834;0;0;0;0;0;0;0,015090971;0,125340116;0;0;0;0;0;0;-0,000295894;0;0;0;0,009214147;0;0;0;0;0;0;0,022376688;0;0;0;0;0;0;0;0,001936649;0,024343387;0,018359233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,061094831;0;0;0;0;0;0;0;0;0;0;0;-0,003438829;0;0;0;0;0;0;0;0;-0,000117942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008436174;-0,137001217;0;0;0;0;0;0;0;0;0;0;0;-0,034728425;0;0;0;0;0
ELK1;0;0,067133892;0;0;0,072662027;-0,002969924;0;0;-0,054447681;0;0;0;0,008643122;0;0,047024106;-1;0;0;0;0;0;0;0,031513672;0;0;0;0;-0,08426608;0;0;0;0;0;-0,000719505;0;0,045072359;0;0;0;0;0,026317728;0,038432419;0,000337074;0;0;0,000469632;0;0;0;-0,018377573;0;0;-6,18154E-05;0;0,081799227;0,006288919;0;0;-0,055934184;0;0;-0,002535563;0;0;0;0,035936608;0,005148902;0;0;0,045578266;0;0;0;0;0;0;0;0;0;0,084717644;0;0;0;0;0,016536588;0;0;0;0;0;0;0;0,078705482;0;0;0;-0,00891858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,025153726;0;0;-0,004106737;0;0;0;0;0;0;0;0;0;0;-0,061382139;0;0;0;0;0,006900521;0;0;0;0;0;0;0;0;0;0;0,041027359;0;0;0;0;0;0;0;0;0;0;0;0,044516303;0;-0,031063052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ELK3;0,0320029;0,059934743;0,073383201;0;-0,069127222;0;0;0;-0,037588722;0;0;0;0,013044028;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10204082;0;0;0;0,064005819;0,05549742;0;0,051152773;0;0;0;0,039520994;0;0;-0,079780794;0;-0,034870111;0;0;0;0;0;0;-0,014582432;-0,008566104;0;0;0,094090724;0;0;0;0;0;0;0;0;0;0,053840339;0;0,014695144;0;0;-0,00831142;0;-0,001034304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,002368373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10184066;-0,003558551;0;0;0;0;0;-0,075018715;0;0,000954423;0,156003699;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,040335745;0;0;0;0;0;-0,007960601;0;0;0;0;0;0;0;0;0,001860723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ETS2;0,094361945;0;0;0;0,147265874;0;0;0,031896493;0,000535966;0;0;0;-0,060410393;0;0,049713987;0;0;-1;0;0;0;0;0;0;0;0,00152891;0,080829007;0;0;0,066346426;0;0;0;0,045643367;0;0;0;0;0,036326798;0;0;0;0;0;0;-0,106628271;0;0;0;0,091019654;0,025950026;0;0;0;0,10165654;0;0;0;0;0;0;0;0;0;0;0;0;0;0,081618757;0;0;0;0;0;0;0,00076587;0;0;-0,002339514;0;0;0;0;0;0;0;0;0;0;0,054692059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,002733813;0;0;0;0;0;0;-0,000697069;0,04516828;0,061599414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,000593465;0;0;-0,089372655;0;0;0;0;0;0;0;-0,000421574;0;0;0;0;0;0,017464856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,000967269;0;0
ETV3;0;0;0,002779247;0;-0,24544682;-0,039453852;0;0;0;0;0;-0,123777907;0,000854364;0;-0,07974233;0;0;0,068884676;-1;0;0;0;-0,048476777;-0,003302355;0,118196388;0;0;0;0;0,067619256;0,121707099;0,144064817;0;0;0;0,043392779;0;0;0,075250896;0,052214295;0;0;0;0;0;0;0;0;0;0;0;0;0;0,059274501;0;0;0;0;0,087957778;-0,084145298;-0,065368894;0;-0,003972926;0;0,051284248;0;0;0;0,014066384;0;0;0;0;0;0,04569254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,143026881;0,154482936;0;0;0;0;0;0;0;0;0;0;0,027790279;0;0;0;0;0;0;-0,056180789;-0,018632648;0;0;0;0;0;0,096651307;0;0;0;0;0;0,007945202;0;0;0;0;0,079282165;0;0,027696774;0;0;0,095951405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,047341186;0;0,082633535;0;0;0;0;0;0;0;0;0;0,030819857;0;0;0;0;0;0;0;0;0;0
ETV6;0;0;0;0;0;0;0,09043256;0;0;0;0;0;0,033570458;0;0;0;0;0;0;-1;0;0;0;0,154770025;0;0,08789696;0;-0,165851832;0;0;0,117346658;0,286570811;0;0;0;0;0,015498482;0;0,041190201;0;0,059817435;0;0,082540749;0;0;0;0;0;0;0;0;0;0;-0,008386362;0,070377113;0;0;0;0;0;0,056272433;0,141423737;0;0;0;0;0;0,010702172;-0,051219745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,099128234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,030246076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,012906698;0;0;0;0;0;-0,025120404;0;0;0;0;0;0;0;0;0;0;0,031609297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,046396823
