,Predict,Low,Up
717,406.5990744906563,405.994338165136,407.20381081617654
718,407.81452391213986,407.09502834553365,408.5340194787461
719,408.5687856042701,407.7620054929477,409.3755657155925
720,409.47767206695374,408.60208001629513,410.35326411761235
721,411.03594434013513,410.1001846232518,411.9717040570185
722,411.63990493731416,410.6493558367978,412.63045403783053
723,410.8607013571136,409.8190214561184,411.90238125810885
724,409.1711644720734,408.0811147094941,410.26121423465264
725,407.0711695570976,405.93497779500865,408.2073613191866
726,405.62108367963776,404.44063236467,406.8015349946055
727,405.89133973969433,404.66826727079393,407.11441220859473
728,407.4246941263255,406.1604544535285,408.68893379912254
729,408.8568900005009,407.53069394540097,410.1830860556009
730,410.0598917191672,408.6825273019271,411.43725613640726
731,410.80633475919745,409.38049811005766,412.23217140833725
732,411.71146113105175,410.2395704868085,413.183351775295
733,413.267439684188,411.75121792031945,414.78366144805653
734,413.8703441429598,412.3112148430936,415.42947344282607
735,413.0910227643156,411.4902119154667,414.6918336131645
736,411.4019150512349,409.76051736401365,413.0433127384561
737,409.3026036618551,407.6216162336875,410.9835910900226
738,407.85300940548547,406.13335175785335,409.5726670531176
739,408.12314170967824,406.36566849438424,409.88061492497224
740,409.65591455585985,407.86142439740746,411.45040471431224
741,411.08757231750394,409.23915483112677,412.9359898038811
742,412.29012398971236,410.39578534399277,414.18446263543194
743,413.0362881409415,411.09782097275297,414.97475530913005
744,413.94107729772367,411.9601463274569,415.9220082679904
745,415.4964769525066,413.47424525797845,417.51870864703477
746,416.0991570698237,414.03658951873354,418.1617246209139
747,415.3201254010354,413.21806071388323,417.42219008818756
748,413.63164573491383,411.49084381283365,415.772447656994
749,411.5331149431073,409.35427938910215,413.71195049711247
750,410.0840597003599,407.8678503518279,412.3002690488919
751,410.3540915532235,408.10113177906806,412.60705132737894
752,411.8862944453635,409.59717584501095,414.175413045716
753,413.3174198530559,410.9773090571496,415.6575306489622
754,414.5195243634976,412.13516713083766,416.9038815961576
755,415.2654110580422,412.83823506595775,417.6925870501267
756,416.16986377455777,413.701215690216,418.63851185889956
757,417.7246850637227,415.21549200673417,420.2338781207112
758,418.3271410782076,415.7781712790102,420.876110877405
